candidate,year,n_trades,net_pts,PF_pts,avg_pts_per_trade,cap_norm_R_total,cap_norm_R_avg,max_dd_pts,max_dd_R,win_rate,avg_winner_pts,avg_loser_pts,payoff_ratio,n_TP,n_SL,n_BE,n_cutoff,trades_per_year,hold_median_min,hold_mean_min,hold_p25_min,hold_p75_min
perturb_start-60,2018,83,165.38,1.3196,1.992,8.0,0.0964,-98.62,-4.0,0.3614,22.762,-23.523,0.968,30,22,31,0,83.0,106.0,179.7,63.5,248.5
perturb_start-60,2020,107,843.29,1.3863,7.881,0.2868,0.0027,-460.79,-9.0,0.3738,75.663,-54.581,1.386,38,38,27,4,107.0,135.0,210.8,66.0,264.5
perturb_start-60,2023,73,288.0,1.2759,3.945,8.0,0.1096,-309.0,-5.0,0.411,44.4,-47.455,0.936,30,22,21,0,73.0,75.0,136.2,56.0,150.0
perturb_start-60,2026,45,2431.5,4.3365,54.033,18.0086,0.4002,-323.25,-4.0,0.6222,112.866,-80.972,1.394,27,9,8,1,45.0,114.0,196.3,58.0,309.0
perturb_start-60,ALL,308,3728.16,1.8334,12.104,34.2954,0.1113,-460.79,-9.0,0.4156,64.075,-48.102,1.332,125,91,87,5,77.0,99.0,182.6,61.8,245.5
perturb_start-60,ALL_ex2026,263,1296.66,1.3463,4.93,16.2868,0.0619,-460.79,-9.0,0.3802,50.414,-44.58,1.131,98,82,79,4,87.67,99.0,180.3,62.0,242.5
perturb_start-60,ALL_ex_best_year(2026),263,1296.66,1.3463,4.93,16.2868,0.0619,-460.79,-9.0,0.3802,50.414,-44.58,1.131,98,82,79,4,87.67,99.0,180.3,62.0,242.5
perturb_start-30,2018,85,244.12,1.4717,2.872,10.0,0.1176,-98.62,-4.0,0.3765,23.801,-23.523,1.012,32,22,31,0,85.0,99.0,176.7,62.0,245.0
perturb_start-30,2020,109,1089.41,1.499,9.995,2.2868,0.021,-460.79,-8.0,0.3853,77.92,-54.581,1.428,40,38,27,4,109.0,122.0,208.0,66.0,263.0
perturb_start-30,2023,78,310.51,1.2547,3.981,7.865,0.1008,-397.88,-5.0,0.4103,47.801,-48.765,0.98,32,24,21,1,78.0,74.0,134.6,53.8,146.0
perturb_start-30,2026,47,2556.48,4.3467,54.393,18.8329,0.4007,-323.25,-4.0,0.617,114.496,-76.389,1.499,28,9,8,2,47.0,114.0,195.7,55.5,316.0
perturb_start-30,ALL,319,4200.52,1.8968,13.168,38.9848,0.1222,-460.79,-8.0,0.4232,65.809,-48.286,1.363,132,93,87,7,79.75,91.0,179.9,61.0,244.0
perturb_start-30,ALL_ex2026,272,1644.04,1.4194,6.044,20.1519,0.0741,-460.79,-8.0,0.3897,52.49,-45.056,1.165,104,84,79,5,90.67,91.0,177.2,62.0,239.0
perturb_start-30,ALL_ex_best_year(2026),272,1644.04,1.4194,6.044,20.1519,0.0741,-460.79,-8.0,0.3897,52.49,-45.056,1.165,104,84,79,5,90.67,91.0,177.2,62.0,239.0
perturb_start,2018,112,285.8,1.3439,2.552,10.3037,0.092,-139.08,-5.6963,0.3929,25.381,-24.44,1.038,44,33,34,1,112.0,77.0,144.2,43.0,206.8
perturb_start,2020,131,1478.9,1.5635,11.289,2.6981,0.0206,-563.16,-9.5677,0.4046,77.426,-51.464,1.504,49,47,27,8,131.0,98.0,187.8,61.5,254.0
perturb_start,2023,100,543.09,1.303,5.431,11.6362,0.1164,-378.11,-3.7536,0.44,53.079,-52.717,1.007,43,30,22,5,100.0,69.5,127.7,41.8,147.0
perturb_start,2026,57,2703.3,3.3838,47.426,20.3202,0.3565,-402.75,-5.0,0.5965,112.862,-87.232,1.294,32,12,10,3,57.0,79.0,172.8,42.0,264.0
perturb_start,ALL,400,5011.09,1.7852,12.528,44.9583,0.1124,-563.16,-9.5677,0.4375,65.103,-48.349,1.347,168,122,93,17,100.0,79.0,158.4,48.8,210.2
perturb_start,ALL_ex2026,343,2307.78,1.4397,6.728,24.6381,0.0718,-563.16,-9.5677,0.4111,53.587,-44.101,1.215,136,110,83,14,114.33,79.0,156.1,49.5,204.5
perturb_start,ALL_ex_best_year(2026),343,2307.78,1.4397,6.728,24.6381,0.0718,-563.16,-9.5677,0.4111,53.587,-44.101,1.215,136,110,83,14,114.33,79.0,156.1,49.5,204.5
perturb_start+30,2018,131,63.61,1.0482,0.486,8.2227,0.0628,-419.74,-6.3826,0.3817,27.69,-30.02,0.922,49,39,37,6,131.0,80.0,151.4,53.0,229.0
perturb_start+30,2020,140,937.25,1.285,6.695,-1.2625,-0.009,-563.16,-12.1947,0.3857,78.249,-57.688,1.356,50,51,29,10,140.0,102.0,185.3,61.8,250.5
perturb_start+30,2023,124,183.27,1.0679,1.478,10.1506,0.0819,-953.82,-7.2893,0.4113,56.515,-59.977,0.942,47,35,28,14,124.0,79.0,138.8,51.2,209.2
perturb_start+30,2026,65,2681.94,2.7243,41.261,20.2134,0.311,-623.81,-6.1053,0.5538,117.703,-91.493,1.286,34,14,12,5,65.0,94.0,174.2,49.0,280.0
perturb_start+30,ALL,460,3866.08,1.4362,8.405,37.3242,0.0811,-1038.69,-12.1947,0.4152,66.647,-54.377,1.226,180,139,106,35,115.0,85.0,161.6,56.0,239.0
perturb_start+30,ALL_ex2026,395,1184.14,1.162,2.998,17.1108,0.0433,-953.82,-12.1947,0.3924,54.788,-50.055,1.095,146,125,94,30,131.67,85.0,159.5,59.0,232.5
perturb_start+30,ALL_ex_best_year(2026),395,1184.14,1.162,2.998,17.1108,0.0433,-953.82,-12.1947,0.3924,54.788,-50.055,1.095,146,125,94,30,131.67,85.0,159.5,59.0,232.5
perturb_start+60,2018,140,103.61,1.0709,0.74,9.2009,0.0657,-317.36,-6.7493,0.3857,28.985,-30.449,0.952,52,40,38,10,140.0,87.5,154.9,58.2,238.0
perturb_start+60,2020,150,1301.84,1.3819,8.679,0.4335,0.0029,-563.16,-10.4987,0.38,82.64,-56.81,1.455,53,51,33,13,150.0,109.0,184.0,62.0,251.8
perturb_start+60,2023,137,99.04,1.0321,0.723,8.9167,0.0651,-793.77,-7.0448,0.4015,57.921,-60.521,0.957,48,38,31,20,137.0,83.0,141.5,56.0,247.0
perturb_start+60,2026,73,2867.86,2.7313,39.286,21.143,0.2896,-423.81,-5.1053,0.5342,116.009,-82.824,1.401,35,14,14,10,73.0,113.0,176.0,57.0,264.0
perturb_start+60,ALL,500,4372.34,1.4548,8.745,39.6941,0.0794,-793.77,-10.4987,0.41,68.222,-53.705,1.27,188,143,116,53,125.0,91.0,163.0,60.0,249.0
perturb_start+60,ALL_ex2026,427,1504.48,1.1891,3.523,18.5511,0.0434,-793.77,-10.4987,0.3888,56.996,-50.043,1.139,153,129,102,43,142.33,90.0,160.8,61.0,247.0
perturb_start+60,ALL_ex_best_year(2026),427,1504.48,1.1891,3.523,18.5511,0.0434,-793.77,-10.4987,0.3888,56.996,-50.043,1.139,153,129,102,43,142.33,90.0,160.8,61.0,247.0
