touched_at,side,entry_price,sign,sigma_day,vol_close_prior,ib_range_pts,level_distance_from_open_pts,side_direction,entry_hour_et,day_of_week,dist_prior_bar_close_pts,trailing_5session_avg_ib_range_pts,stop_distance_R_cap,year,exit_reason,pnl,cutoff_ts,mae_pts,mfe_pts,mae_R,mfe_R,_vol_tercile,_tod_bucket
2023-06-05 03:52:00-04:00,lower,1954.5703721732884,1.0,25.684378072512477,20.459999084472656,14.700000000000045,38.22962782671152,1.0,3.8666666666666667,0,1.1296278267116122,10.900000000000091,5.25,2023,TP,5.25,2023-06-05 05:39:00-04:00,0.5703721732884333,5.929627826711567,0.10864231872160633,1.1294529193736318,mid,pre-11:00
2023-06-05 08:40:00-04:00,lower,1953.9967884276596,1.0,27.666534317761073,22.1200008392334,10.900000000000091,31.503211572340433,1.0,8.666666666666666,0,0.30321157234038765,10.900000000000091,9.149999999999864,2023,TP,9.149999999999864,2023-06-05 09:45:00-04:00,0.19678842765961235,9.803211572340388,0.021506931984657408,1.0713892428787468,mid,pre-11:00
2023-06-14 20:51:00-04:00,lower,1949.2581947685348,1.0,23.251962208114463,18.65999984741211,7.7999999999999545,28.84180523146506,1.0,20.85,2,2.1418052314652414,11.400000000000045,3.75,2023,SL,-3.75,2023-06-14 21:57:00-04:00,4.058194768534804,2.1418052314652414,1.082185271609281,0.5711480617240644,low,15:00-24:00
2023-06-20 10:00:00-04:00,lower,1942.085650342959,1.0,25.17864093156628,20.280000686645508,8.799999999999955,28.81434965704102,1.0,10.0,1,1.0143496570408388,9.480000000000018,21.899999999999864,2023,cutoff,7.514349657040839,2023-06-20 15:00:00-04:00,1.2856503429591157,7.814349657041021,0.05870549511228876,0.3568196190429712,mid,pre-11:00
2023-06-21 08:22:00-04:00,lower,1940.2965219591533,1.0,24.188563087876457,19.549999237060547,2.1000000000001364,23.803478040846585,1.0,8.366666666666667,2,0.5034780408466304,9.680000000000017,3.300000000000068,2023,TP,3.300000000000068,2023-06-21 08:30:00-04:00,2.296521959153324,4.303478040846585,0.6959157451979626,1.3040842548019684,mid,pre-11:00
2023-06-21 09:37:00-04:00,lower,1934.4603613377337,1.0,23.84743332855029,19.290000915527344,10.099999999999909,28.03963866226627,1.0,9.616666666666667,2,5.439638662266361,12.800000000000068,14.550000000000068,2023,cutoff,12.63963866226618,2023-06-21 15:00:00-04:00,5.160361337733775,14.339638662266225,0.35466400946623716,0.9855421761007669,low,pre-11:00
2023-06-28 02:43:00-04:00,lower,1919.3562765746904,1.0,24.014916766640745,19.549999237060547,8.900000000000091,30.643723425309645,1.0,2.716666666666667,2,1.1437234253096449,8.180000000000017,2.699999999999932,2023,SL,-2.7000000000000455,2023-06-28 05:48:00-04:00,3.0562765746904006,1.743723425309554,1.131954286922399,0.6458234908554067,low,pre-11:00
2023-06-29 08:33:00-04:00,lower,1909.2376112938223,1.0,23.546074680627722,19.290000915527344,7.0,28.462388706177762,1.0,8.55,3,1.7623887061777168,8.240000000000055,2.8500000000001364,2023,SL,-2.8500000000001364,2023-06-29 08:42:00-04:00,2.9376112938223287,1.7623887061777168,1.0307408048498905,0.6183820021675903,low,pre-11:00
2023-07-06 08:30:00-04:00,lower,1912.6604625653388,1.0,24.227758081153247,19.8700008392334,1.2000000000000455,22.939537434661133,1.0,8.5,3,3.639537434661179,8.5,4.800000000000068,2023,TP,4.800000000000068,2023-07-06 09:21:00-04:00,4.160462565338776,5.03953743466127,0.8667630344455659,1.0499036322210828,mid,pre-11:00
2023-07-11 22:22:00-04:00,upper,1946.1668005481342,-1.0,24.25739190014586,20.07999992370605,9.299999999999955,28.466800548134188,-1.0,22.366666666666667,1,2.366800548134279,9.85999999999999,5.100000000000136,2023,TP,5.100000000000136,2023-07-12 02:36:00-04:00,0.23319945186585755,5.166800548134233,0.04572538271879437,1.0130981466929598,mid,15:00-24:00
2023-07-12 08:30:00-04:00,upper,1946.830171156454,-1.0,24.05453386571113,19.90999984741211,10.399999999999864,28.93017115645398,-1.0,8.5,2,6.43017115645398,6.5,4.649999999999864,2023,SL,-4.649999999999864,2023-07-12 08:33:00-04:00,5.06982884354602,6.93017115645398,1.0902857728056277,1.4903593884847706,mid,pre-11:00
2023-07-13 03:05:00-04:00,upper,1967.3879028289705,-1.0,24.280329161924506,19.8700008392334,10.199999999999818,27.587902828970527,-1.0,3.0833333333333335,3,0.18790282897043653,6.320000000000027,10.949999999999932,2023,BE,-0.0,2023-07-13 04:04:00-04:00,0.4120971710294725,3.487902828970391,0.03763444484287444,0.3185299387187592,mid,pre-11:00
2023-07-13 08:30:00-04:00,upper,1968.2834765539696,-1.0,24.87334408040166,20.3700008392334,12.099999999999909,29.883476553969558,-1.0,8.5,3,4.483476553969695,9.220000000000027,4.350000000000136,2023,TP,4.350000000000136,2023-07-13 08:31:00-04:00,0.2165234460303509,8.583476553969604,0.04977550483456186,1.9732130009124906,mid,pre-11:00
2023-07-18 07:16:00-04:00,upper,1969.9824637094644,-1.0,24.383112727678796,19.950000762939453,12.799999999999955,29.78246370946431,-1.0,7.266666666666667,1,2.1824637094644004,7.480000000000018,4.050000000000068,2023,SL,-4.050000000000182,2023-07-18 07:16:00-04:00,5.917536290535736,2.1824637094644004,1.4611200717371942,0.5388799282628058,mid,pre-11:00
2023-07-19 22:02:00-04:00,upper,1988.773798412589,-1.0,24.10195479629259,19.479999542236328,4.0,24.67379841258912,-1.0,22.033333333333335,2,1.3737984125889398,6.740000000000054,9.150000000000205,2023,BE,-0.0,2023-07-19 22:56:00-04:00,0.12620158741106025,2.6737984125891217,0.013792523214323216,0.29221840574743846,mid,15:00-24:00
2023-07-24 19:27:00-04:00,lower,1954.7736647947222,1.0,24.05036435356267,19.290000915527344,4.400000000000091,24.426335205277837,1.0,19.45,0,0.5263352052777464,6.759999999999991,1.6500000000002046,2023,TP,1.6500000000002046,2023-07-24 20:33:00-04:00,0.17366479472229912,1.7263352052777918,0.10525139074077429,1.0462637607742895,low,15:00-24:00
2023-07-25 10:00:00-04:00,lower,1952.4966670725025,1.0,24.568840138584246,19.68000030517578,6.7999999999999545,29.303332927497422,1.0,10.0,1,5.603332927497377,6.240000000000009,7.949999999999932,2023,TP,7.949999999999932,2023-07-25 10:05:00-04:00,0.8966670725026233,8.403332927497559,0.11278831100662026,1.0570230097481297,mid,pre-11:00
2023-07-27 10:06:00-04:00,lower,1942.4362740875738,1.0,24.145354252637166,19.43000030517578,10.799999999999955,30.263725912426253,1.0,10.1,3,0.5637259124262073,5.560000000000036,26.100000000000136,2023,BE,0.0,2023-07-27 10:53:00-04:00,0.23627408757374724,4.463725912426298,0.009052647033476859,0.17102398131901436,mid,pre-11:00
2023-07-27 20:00:00-04:00,upper,1986.3,-1.0,23.401190049436742,18.989999771118164,13.400000000000091,30.09999999999991,-1.0,20.0,3,38.899999999999864,7.059999999999991,4.800000000000068,2023,BE,-0.0,2023-07-27 21:03:00-04:00,0.2999999999999545,1.599999999999909,0.06249999999998964,0.33333333333330967,low,15:00-24:00
2023-07-27 21:37:00-04:00,upper,1988.6624383088272,-1.0,24.470041640029425,19.82999992370605,10.900000000000091,29.762438308827086,-1.0,21.616666666666667,3,0.3624383088272225,6.939999999999964,2.8499999999997954,2023,BE,-0.0,2023-07-27 22:31:00-04:00,0.837561691172823,2.062438308827268,0.29388129514838,0.7236625645008478,mid,15:00-24:00
2023-07-27 23:00:00-04:00,upper,1990.5339998097222,-1.0,24.982608488828625,20.200000762939453,5.2999999999999545,27.233999809722263,-1.0,23.0,3,0.33399980972217236,6.8,5.700000000000273,2023,BE,-0.0,2023-07-27 23:49:00-04:00,2.1660001902778276,2.7339998097222633,0.38000003338205685,0.4796490894249355,mid,15:00-24:00
2023-07-28 07:23:00-04:00,upper,1994.492717734614,-1.0,24.44860623327598,19.709999084472656,4.900000000000091,25.392717734614052,-1.0,7.383333333333334,4,0.29271773461391604,6.959999999999991,5.550000000000068,2023,SL,-5.550000000000182,2023-07-28 11:08:00-04:00,5.907282265386129,3.9927177346139615,1.0643751829524426,0.7194086008313356,mid,pre-11:00
2023-07-31 08:31:00-04:00,upper,2003.0637259124264,-1.0,24.145354252637166,19.43000030517578,10.799999999999955,30.36372591242639,-1.0,8.516666666666667,0,2.363725912426389,5.560000000000036,4.949999999999932,2023,BE,-0.0,2023-07-31 09:28:00-04:00,2.3362740875736563,2.363725912426389,0.4719745631461997,0.4775203863487721,mid,pre-11:00
2023-07-31 09:32:00-04:00,upper,2005.6263352052779,-1.0,24.05036435356267,19.290000915527344,4.400000000000091,26.426335205277837,-1.0,9.533333333333333,0,0.22633520527779183,6.759999999999991,14.850000000000136,2023,cutoff,0.22633520527779183,2023-07-31 15:00:00-04:00,5.273664794722208,1.6263352052778828,0.35512894240553267,0.10951752224093386,low,pre-11:00
2023-08-02 10:11:00-04:00,lower,1977.929426729827,1.0,23.881057902361984,18.920000076293945,7.400000000000091,25.770573270173145,1.0,10.183333333333334,2,1.370573270173054,8.480000000000018,6.449999999999932,2023,SL,-6.449999999999818,2023-08-02 10:29:00-04:00,6.8294267298269915,1.5705732701730994,1.0588258495855913,0.24349973180978543,low,pre-11:00
2023-08-03 03:07:00-04:00,lower,1966.2422235535325,1.0,24.899757007029788,19.82999992370605,5.7999999999999545,27.057776446467415,1.0,3.1166666666666667,3,0.35777644646736917,8.380000000000019,5.550000000000068,2023,TP,5.550000000000068,2023-08-03 03:32:00-04:00,0.44222355353258536,5.75777644646746,0.07967991955541981,1.0374371975616918,mid,pre-11:00
2023-08-04 08:30:00-04:00,lower,1956.4642364100148,1.0,24.16930824998386,19.31999969482422,10.299999999999955,29.4357635899853,1.0,8.5,4,9.735763589985254,8.480000000000064,3.450000000000273,2023,TP,3.450000000000273,2023-08-04 08:31:00-04:00,1.9642364100147915,17.135763589985118,0.5693438869607641,4.966887997096743,mid,pre-11:00
2023-08-14 08:11:00-04:00,lower,1941.385645080157,1.0,27.40690752156847,22.020000457763672,9.200000000000045,34.414354919842935,1.0,8.183333333333334,0,0.9143549198429355,7.040000000000054,2.4000000000002046,2023,SL,-2.4000000000003183,2023-08-14 08:24:00-04:00,3.6856450801569736,1.014354919843072,1.5356854500652748,0.4226478832679106,mid,pre-11:00
2023-08-15 08:30:00-04:00,lower,1931.367262780136,1.0,25.687757847678274,20.81999969482422,5.099999999999909,27.23273721986402,1.0,8.5,1,3.2327372198640205,7.400000000000046,3.449999999999932,2023,SL,-3.4500000000000455,2023-08-15 08:32:00-04:00,3.8672627801358885,5.332737219864157,1.1209457333727435,1.5457209332939892,mid,pre-11:00
2023-08-16 20:47:00-04:00,lower,1921.2709051545182,1.0,23.401190049436742,18.989999771118164,13.400000000000091,34.92909484548181,1.0,20.783333333333335,2,0.129094845481859,7.059999999999991,3.0,2023,TP,3.0,2023-08-17 02:23:00-04:00,2.4709051545182774,3.0290948454817226,0.8236350515060925,1.0096982818272409,low,15:00-24:00
2023-08-24 00:47:00-04:00,upper,1950.6481982975904,-1.0,26.519780758250388,21.88999938964844,5.900000000000091,27.448198297590352,-1.0,0.7833333333333333,3,1.0481982975904884,5.959999999999991,3.300000000000068,2023,BE,-0.0,2023-08-24 02:50:00-04:00,0.551801702409648,2.6481982975903975,0.16721263709382927,0.8024843326031341,mid,pre-11:00
